,z
1000,-6.352796
1001,-11.588815
1002,0.18681855
1003,2.8189032
1004,-9.925581
1005,-9.134306
1006,-9.672944
1007,-14.097936
1008,-9.992946
1009,-2.933155
1010,-15.089394
1011,0.66231346
1012,0.122731365
1013,-2.000161
1014,-11.216805
1015,-2.0740952
1016,-4.7510123
1017,1.5393486
1018,0.49454203
1019,-12.389322
1020,-2.8591678
1021,-7.5029964
1022,-4.433792
1023,-1.280643
1024,-8.940352
1025,0.4322752
1026,-1.920314
1027,-1.9905295
1028,-2.9132092
1029,-4.04394
1030,9.036186
1031,-6.91724
1032,0.15367743
1033,-1.9906662
1034,-0.3001297
1035,1.3510513
1036,-2.0375628
1037,-4.5674863
1038,-0.95471257
1039,-14.270125
1040,-5.188556
1041,-7.5158896
1042,-0.106791414
1043,-1.0598629
1044,-2.4304736
1045,-0.7898167
1046,-2.0692055
1047,0.2971018
1048,1.4519507
1049,-0.5033608
1050,-1.3822172
1051,-4.886293
1052,3.0785465
1053,-6.463056
1054,-1.4055637
1055,-4.618108
1056,-7.681512
1057,-1.1557152
1058,-2.7695792
1059,-1.5512956
1060,1.0984253
1061,-11.464639
1062,-0.98269135
1063,-0.5548765
1064,-0.63729024
1065,-1.2295305
1066,-10.775345
1067,1.6609043
1068,-11.073719
1069,-1.0471514
1070,-5.542152
1071,-2.5619466
1072,-0.89344734
1073,-0.9157649
1074,-15.581467
1075,0.7503922
1076,-0.077251725
1077,-1.810841
1078,-2.2760236
1079,-3.656237
1080,-7.283373
1081,1.1126953
1082,-6.2527094
1083,-9.251439
1084,-1.007567
1085,-7.6946297
1086,-6.166346
1087,-0.06676881
1088,-9.810666
1089,-3.1761155
1090,-0.33610532
1091,-6.288002
1092,-1.3799083
1093,0.59084463
1094,2.2287467
1095,-3.493308
1096,-6.6349463
1097,9.097769
1098,-0.25167277
1099,-2.7992656
1100,-2.1117287
1101,-7.878927
1102,-8.409799
1103,-1.7896454
1104,1.8736601
1105,-5.791498
1106,0.32319885
1107,0.12404571
1108,3.0592995
1109,-7.5643544
1110,-4.931702
1111,-3.7365074
