,z
0,10.700688
1,3.8609571
2,7.4762826
3,6.510997
4,7.2518215
5,-16.013714
6,-0.3528754
7,0.9482526
8,-2.3188148
9,-6.2947707
10,8.45995
11,3.6353698
12,1.6056039
13,7.2267213
14,7.1020637
15,12.421527
16,-16.377241
17,-5.996124
18,3.5890582
19,-0.44250098
20,17.357048
21,3.9534974
22,15.106819
23,3.5777068
24,7.0178533
25,5.0473413
26,1.2323499
27,-0.39668638
28,2.8411543
29,0.49798378
30,1.4283669
31,0.9164034
32,12.277896
33,-3.2082572
34,2.7472575
35,-0.64134336
36,11.329384
37,10.9065695
38,-4.7441287
39,3.288863
40,7.5161023
41,-11.034423
42,4.800054
43,11.664502
44,7.22737
45,1.4959451
46,-2.7110405
47,1.70266
48,7.350723
49,8.265704
50,8.511338
51,17.165686
52,14.229167
53,16.624813
54,8.476718
55,4.3129
56,13.573216
57,18.246696
58,4.1293488
59,13.7194805
60,3.7430043
61,17.517181
62,13.602523
63,4.077384
64,17.567081
65,15.817376
66,11.728251
67,10.382565
68,11.790355
69,4.867282
70,4.2710447
71,0.111565456
72,1.4167714
73,-1.5379392
74,15.1075945
75,5.416566
76,17.438433
77,17.043337
78,3.7119713
79,-0.68898803
80,16.59078
81,-6.3877516
82,0.6414029
83,15.251962
84,12.0865555
85,-5.125066
86,-13.648048
87,-14.607593
88,-4.051559
89,-4.1005406
90,-14.571299
91,-5.09615
92,-13.559452
93,-0.50493026
94,-9.317076
95,7.7087355
96,-12.718835
97,11.76836
98,-11.0604725
99,-11.441484
100,-13.97084
101,-7.7206497
102,0.8897752
103,-5.3581324
104,6.167464
105,-16.141275
106,-11.391547
107,-13.937572
108,-5.6738887
109,-7.0052986
110,-4.7539954
111,-2.69995
112,-9.417133
113,-14.070326
114,-2.7970824
115,-14.450814
116,-12.25239
117,10.78891
118,-13.9500265
119,-6.723281
120,-11.951846
121,-6.631697
122,-11.21973
123,-5.0431466
124,-12.713567
125,-11.18249
126,-17.694767
127,-13.319885
128,-14.298665
129,-9.376546
130,-6.1397724
131,-5.3954496
132,-5.418576
133,-10.8385725
134,-13.4329815
135,0.69104284
136,-4.0220723
137,-1.1866193
138,-14.128218
139,-13.116837
140,-8.676099
141,-4.2021003
142,-18.83612
143,-15.409722
144,-14.628215
145,-14.491566
146,-13.127183
147,-9.202228
148,-10.766112
149,-11.012726
150,-12.20247
151,-14.165766
152,-15.13148
153,-13.331536
154,-13.007723
155,-6.1765504
156,-12.441714
157,-9.892211
158,-11.328984
159,-6.1395106
160,-12.566545
161,-5.838745
162,-6.2825246
163,-9.59233
164,-8.449819
165,-12.27568
166,-13.762575
167,-17.416334
168,-8.781254
169,-6.8351336
170,11.9510145
171,-6.925251
172,-14.439532
173,-8.448497
174,-11.661358
175,-13.841064
176,-7.752208
177,-10.41533
178,-13.069118
179,-10.524303
180,-14.803554
181,-13.523916
182,-13.471709
183,-8.811231
184,-9.464774
185,-11.350795
186,-14.280432
187,-15.052054
188,-9.477684
189,-12.552533
190,-5.326334
191,-5.9936066
192,-12.416992
193,-0.40467766
194,-13.216772
195,-6.5194254
196,-14.588565
197,-13.94906
198,-16.375738
199,-7.099824
200,-7.4958124
201,-4.529064
202,-10.659499
203,-10.701
204,-3.813236
205,-10.511886
206,-1.4165721
207,-5.1451554
208,-8.120901
209,-7.1426797
210,-11.599924
211,1.2762041
212,-15.361581
213,-16.630476
214,-13.517257
215,-6.786286
216,-14.112285
217,-6.1870446
218,-15.286505
219,-8.912691
220,-14.167103
221,-4.8720446
222,7.0792923
223,-7.464688
224,-15.294926
225,-15.5705385
226,-11.116333
227,-7.5607963
228,-16.201788
229,-6.3480954
230,6.373852
231,6.408587
232,14.793857
233,-4.0198917
234,-10.366974
235,-6.1346297
236,-6.411493
237,-2.067733
238,18.03375
239,-0.040658925
240,17.30786
241,6.5066524
242,4.7285194
243,-2.7573695
244,-3.5118976
245,2.302048
246,11.4771805
247,1.4170176
248,8.403977
249,2.2118342
250,0.6785808
251,2.962454
252,-0.5692161
253,8.664542
254,0.85225964
255,-0.7645485
256,-10.361649
257,3.8674457
258,12.768043
259,0.032212507
260,-5.5522346
261,6.5846806
262,5.0074935
263,1.9840779
264,14.431153
265,2.3166075
266,6.6656327
267,-8.595011
268,-3.1927788
269,-10.735552
270,-9.397034
271,2.5852168
272,1.7708007
273,3.8702934
274,2.494127
275,-1.5656842
276,-3.05488
277,-4.542503
278,-9.947265
279,-1.8381581
280,-0.7596408
281,-1.6219592
282,-5.2732186
283,-19.797108
284,7.9031262
285,-10.117864
286,3.0265768
287,-4.3480616
288,-0.7013712
289,-10.218531
290,2.7951796
291,-5.75102
292,16.577465
293,-6.2537346
294,-1.5936583
295,7.7224936
296,8.141672
297,7.9453816
298,2.2104445
299,-1.2992498
300,3.6341662
301,15.880553
302,-2.3200665
303,-1.174509
304,0.48367557
305,-5.058415
306,-3.0643833
307,4.1737905
308,-3.2963202
309,8.597864
310,-9.595393
311,3.696249
312,14.707045
313,1.018213
314,5.9858007
315,8.562058
316,2.693683
317,-0.34828627
318,11.749567
319,3.4000225
320,-1.2661835
321,-3.7467706
322,-6.7768145
323,6.286614
324,-10.273761
325,-13.017171
326,-4.1776986
327,6.0709867
328,-7.513351
329,9.212853
330,9.06269
331,-3.257472
332,2.630455
333,-1.2530725
334,-6.6734667
335,4.2440596
336,13.666077
337,8.280904
338,-1.0375268
339,7.3342495
340,0.29075772
341,-2.5682714
342,-8.418034
343,1.9859961
344,4.3323135
345,-10.223686
346,13.183529
347,-1.321528
348,2.7252016
349,0.80253404
350,0.47181416
351,4.598792
352,-2.429457
353,3.7971382
354,5.010818
355,6.199671
356,-7.938597
357,-15.233837
358,4.2573967
359,-0.19652072
360,6.8332906
361,4.336425
362,4.9675064
363,4.1693215
364,-4.3566713
365,2.604766
366,3.2493973
367,-1.9691243
368,2.1801255
369,-7.262254
370,6.609302
371,6.276228
372,7.99953
373,-6.863504
374,1.5230317
375,-4.820968
376,10.192817
377,6.987769
378,-4.616067
379,-14.487453
380,-4.6243796
381,-3.4893446
382,-1.9529532
383,5.504013
384,-5.3267074
385,3.7437668
386,-6.9179063
387,10.379285
388,1.8783761
389,2.3241322
390,10.120817
391,-7.0527043
392,-0.63134414
393,5.937663
394,-0.37762412
395,-0.48738456
396,-1.6803867
397,-11.303395
398,-6.621631
399,1.9539273
400,8.201812
401,-15.346452
402,0.9698771
403,-6.1446466
404,-5.0759573
405,-10.468562
406,-13.605342
407,0.7953423
408,-3.0858958
409,-12.065557
410,15.387143
411,1.9214756
412,2.1049378
413,-4.5715523
414,-14.048261
415,-10.6258135
416,10.085237
417,2.55439
418,1.7070336
419,5.148402
420,7.621137
421,6.00854
422,5.2903905
423,-5.5714827
424,2.2196932
425,5.526147
426,-0.01363189
427,1.7119068
428,-6.880393
429,2.9495447
430,-3.9588516
431,-2.9923928
432,12.534812
433,4.8270893
434,2.034667
435,4.7561426
436,10.90926
437,10.824769
438,5.858993
439,3.15335
440,5.1273203
441,-15.992917
442,5.7899394
443,3.3795283
444,8.996924
445,-13.104124
446,10.095247
447,1.6555752
448,7.8577704
449,13.635837
450,8.481065
451,5.662521
452,18.473248
453,0.20108944
454,5.6350174
455,7.3979845
456,8.718817
457,9.939945
458,-13.816146
459,9.820784
460,-1.5716101
461,2.654378
462,4.347937
463,5.0380535
464,5.9118805
465,7.2633834
466,-0.9718707
467,1.3994279
468,-5.8972993
469,-6.280401
470,-4.4703255
471,2.3736818
472,4.060693
473,-2.1830058
474,-4.955323
475,-0.32155657
476,1.642962
477,3.8017833
478,7.4440126
479,3.7826695
480,8.462867
481,-4.570946
482,1.8112195
483,-1.5830054
484,0.3262891
485,17.582434
486,-6.2115617
487,-5.518639
488,13.666077
489,2.5310712
490,9.953871
491,-8.839945
492,9.707709
493,-3.08434
494,-2.260726
495,0.0062760706
496,11.040301
497,-15.561247
498,2.7252016
499,-0.37763175
500,-4.041095
501,-5.5187955
502,4.877691
503,15.548257
504,0.7769193
505,-1.4654703
506,5.000247
507,7.516265
508,-5.6842513
509,-3.3226864
510,4.6812325
511,11.368005
512,4.7984023
513,6.674895
514,1.3441153
515,-0.60689276
516,4.1171103
517,3.413756
518,-1.5508908
519,-1.6588498
520,8.190376
521,14.033977
522,9.848641
523,10.222257
524,2.7114735
525,3.6816308
526,-11.05796
527,-9.642648
528,-5.1680417
529,9.6236105
530,1.8389608
531,-4.377556
532,8.904101
533,-2.897252
534,-7.559625
535,-2.043063
536,0.60682577
537,9.940078
538,4.3419647
539,-3.642593
540,15.826752
541,-1.2530725
542,-4.3775263
543,-1.4880728
544,5.279246
545,-2.8971705
546,-1.7231143
547,-7.79534
548,-3.1640334
549,4.9324527
550,10.826867
551,1.7385004
552,5.955552
553,-5.083846
554,-4.4850802
555,10.984947
556,7.205361
557,13.320775
558,1.9797875
559,-0.892828
560,-3.3229377
561,-2.0774431
562,6.3984723
563,3.2313654
564,4.157509
565,0.34637484
566,5.588664
567,-0.7516382
568,3.833798
569,-1.200526
570,-8.899247
571,-6.232488
572,6.1706614
573,-4.759306
574,1.184701
575,-13.408258
576,-9.613489
577,-8.978943
578,10.004384
579,0.9405029
580,-12.001713
581,4.4699507
582,9.015159
583,11.130962
584,6.8736863
585,-9.632844
586,-9.4911585
587,2.71465
588,10.423038
589,12.6961565
590,11.2230015
591,7.6022143
592,6.7042885
593,11.114545
594,4.594826
595,1.6883328
596,8.362122
597,9.485489
598,7.8791366
599,6.2848535
600,-2.225992
601,15.175454
602,16.580418
603,13.926401
604,0.5441214
605,-3.3690886
606,8.187968
607,2.3805137
608,3.2498314
609,4.6041107
610,5.122331
611,-3.177401
612,5.2377954
613,5.4926443
614,6.3511424
615,5.8505716
616,-0.2109312
617,-11.07157
618,3.0221024
619,7.2008157
620,2.7697768
621,-7.751341
622,8.312575
623,2.0523999
624,-5.9502125
625,-5.7431264
626,7.532983
627,-5.8972993
628,1.7209846
629,5.76908
630,1.3917359
631,1.8441613
632,1.2645042
633,2.9681804
634,8.456017
635,-1.2512352
636,2.4631884
637,11.506318
638,7.18864
639,4.2610073
640,6.610669
641,5.6751337
642,8.23609
643,5.3870926
644,11.405197
645,11.532193
646,-0.95071614
647,14.109365
648,7.827148
649,8.409713
650,-5.26976
651,3.5397346
652,4.759895
653,7.0069356
654,5.161581
655,5.9044495
656,4.681154
657,6.5620694
658,11.585152
659,-0.89664644
660,3.7712598
661,1.216432
662,4.7912016
663,8.019491
664,6.1559286
665,8.233507
666,8.83375
667,-1.7474794
668,12.683528
669,4.8536344
670,3.881673
671,-1.2072836
672,1.1261464
673,13.58218
674,1.9542075
675,2.1507905
676,10.50576
677,9.265105
678,1.8218805
679,5.6930842
680,5.965243
681,12.635534
682,5.0470676
683,-1.4033175
684,-15.495761
685,5.4059334
686,3.3491364
687,5.7799206
688,1.0127242
689,-9.022688
690,3.65146
691,11.278272
692,8.494977
693,4.671021
694,9.639444
695,9.5871
696,8.879342
697,-5.0897317
698,8.421501
699,-1.1926659
700,6.4566326
701,3.7218282
702,13.4101515
703,-8.132547
704,11.803784
705,9.481012
706,-5.9674635
707,5.6111183
708,14.47173
709,6.1787896
710,-4.01364
